what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370641783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302370672639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302370672821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302370672992
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302370673515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370688726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370727996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370731422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370733897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302370735671
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370748372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370770183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302370793903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302370794167
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302370794342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302370794537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302370794761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302370844776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370854579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370854681
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370862948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370863079
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302370884201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370885843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370904837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1302370904858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1302370904858
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1302370905912
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302370906202
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302370910480
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302370914802
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302370919687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302371214488
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302371216091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302371254186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302371255841
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302371255960
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302371256069
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1302371256070
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1302371268698
